Date,Valid_From,Valid_To,Conf_Level,Anchor ,Liq_Group
17/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
18/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
19/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
20/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
21/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
22/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
23/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
24/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
25/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
26/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
27/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
28/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
29/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
30/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
01/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
02/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
03/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
04/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
05/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
06/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
07/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
08/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
09/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
10/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
11/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
12/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
13/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
14/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
15/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
16/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
17/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
18/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
19/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
20/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
21/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
22/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
23/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
24/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
25/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
26/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
27/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
28/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
29/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
30/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
31/12/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
01/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
02/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
03/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
04/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
05/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
06/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
07/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
08/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
09/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
10/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
11/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
12/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
13/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
14/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
15/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
16/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
17/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
18/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
19/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
20/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
21/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
22/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
23/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
24/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
25/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
26/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
27/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
28/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
29/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
30/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
31/01/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
01/02/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
02/02/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
03/02/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
04/02/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
05/02/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
06/02/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
07/02/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
08/02/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
09/02/2009,07/06/2019,28/11/2021,92.69,1,PEQ01
