FACT_DATE,COLLATERAL_TYPE,SECURITY_TYPE,MARKET_VALUE_EUR,COLLATERAL_VALUE_EUR
09/09/2019,B,CORPORATE BONDS,1910999219,1586122986
09/09/2019,B,SOVEREIGN GOVERNMENT BONDS,23022744313,20451732537
09/09/2019,B,STATE AGENCIES,1643228037,1537393927
09/09/2019,B,STATE/MUNICIPAL BONDS,1994233879,1878088153
09/09/2019,B,null,1349102504,1308861105
09/09/2019,C,null,23216660249,22875550406
09/09/2019,S,STOCKS,844860789,632983748
10/09/2019,B,BANK BONDS,8297414402,7302862343
10/09/2019,B,CORPORATE BONDS,1854594150,1538209569
10/09/2019,B,SOVEREIGN GOVERNMENT BONDS,22601781035,20114364250
10/09/2019,B,STATE AGENCIES,1585763516,1480746796
10/09/2019,B,STATE/MUNICIPAL BONDS,2018299201,1900915665
10/09/2019,B,null,1340228704,1306094123
10/09/2019,C,null,22371393763,22022487772
10/09/2019,S,STOCKS,803019263,601107441
11/09/2019,B,BANK BONDS,8443055096,7442822999
11/09/2019,B,CORPORATE BONDS,1907249482,1582523780
11/09/2019,B,SOVEREIGN GOVERNMENT BONDS,22814642731,20287949660
11/09/2019,B,STATE AGENCIES,1702083383,1594184960
11/09/2019,B,STATE/MUNICIPAL BONDS,1949317998,1835715071
11/09/2019,B,null,1000371663,968336926
11/09/2019,C,null,22418718987,22057986507
11/09/2019,S,STOCKS,771686562,576949608
12/09/2019,B,BANK BONDS,8676315038,7709744737
12/09/2019,B,CORPORATE BONDS,1959983889,1632039142
12/09/2019,B,SOVEREIGN GOVERNMENT BONDS,22470922442,19971539420
12/09/2019,B,STATE AGENCIES,1947393747,1829503048
12/09/2019,B,STATE/MUNICIPAL BONDS,2223760353,2080500370
12/09/2019,B,null,1077790511,1027604142
12/09/2019,C,null,22998522008,22630850369
12/09/2019,S,STOCKS,650725360,487137348
13/09/2019,B,BANK BONDS,8634034039,7669008961
13/09/2019,B,CORPORATE BONDS,2047555366,1710567430
13/09/2019,B,SOVEREIGN GOVERNMENT BONDS,22219829037,19760952669
13/09/2019,B,STATE AGENCIES,2114756571,2009929016
13/09/2019,B,STATE/MUNICIPAL BONDS,2193514425,2079401205
13/09/2019,B,null,972078363,909065827
13/09/2019,C,null,24672621573,24277308992
13/09/2019,S,STOCKS,628920307,472900092
16/09/2019,B,BANK BONDS,8618000038,7635077726
16/09/2019,B,CORPORATE BONDS,1992548284,1658767338
16/09/2019,B,SOVEREIGN GOVERNMENT BONDS,22287353337,19788128453
16/09/2019,B,STATE AGENCIES,1985102133,1869094078
16/09/2019,B,STATE/MUNICIPAL BONDS,2182699083,2068898424
16/09/2019,B,null,951738432,877777408
16/09/2019,C,null,23131195771,22752611122
16/09/2019,S,STOCKS,764572190,575591719
17/09/2019,B,BANK BONDS,8500335132,7512772521
17/09/2019,B,CORPORATE BONDS,1980246955,1647592094
17/09/2019,B,SOVEREIGN GOVERNMENT BONDS,21630974455,19218227807
17/09/2019,B,STATE AGENCIES,1823858178,1714407737
17/09/2019,B,STATE/MUNICIPAL BONDS,2281122114,2163795524
17/09/2019,B,null,1139281135,1054774013
17/09/2019,C,null,23876354141,23486833152
