FACT_DATE,REQUIREMENT_CURRENT,REQUIREMENT_EOP
09/11/2017,3139257013,3102026791
10/11/2017,3143779406,3102026791
13/11/2017,3147081113,3102026791
14/11/2017,3150265966,3102026791
15/11/2017,3153267027,3102026791
16/11/2017,3156515966,3102026791
17/11/2017,3160882471,3102026791
20/11/2017,3165062124,3102026791
21/11/2017,3168855991,3102026791
22/11/2017,3172327740,3102026791
23/11/2017,3176254460,3102026791
24/11/2017,3179535887,3102026791
27/11/2017,3181810566,3102026791
28/11/2017,3185533421,3102026791
29/11/2017,3190002383,3102026791
30/11/2017,3195111839,3102026791
01/12/2017,3198627428,3195111839
04/12/2017,3201313347,3195111839
05/12/2017,3203168252,3193111839
06/12/2017,3207824443,3193111839
07/12/2017,3210887992,3193111839
08/12/2017,3213188308,3193111839
11/12/2017,3211187045,3193111839
12/12/2017,3210133475,3193111839
13/12/2017,3208038747,3193111839
14/12/2017,3206576337,3193111839
15/12/2017,3208206689,3193111839
18/12/2017,3213343430,3193111839
19/12/2017,3213577107,3193111839
20/12/2017,3213747184,3193111839
21/12/2017,3213941555,3193111839
22/12/2017,3212553559,3193111839
27/12/2017,3211230223,3193111839
28/12/2017,3210287561,3193111839
29/12/2017,3207680358,3193111839
02/01/2018,3204122292,3207680358
03/01/2018,3201045751,3207680358
04/01/2018,3189856648,3197680358
05/01/2018,3189285110,3197680358
08/01/2018,3189836587,3197680358
09/01/2018,3190028214,3197680358
10/01/2018,3191765581,3197680358
11/01/2018,3193359065,3197680358
12/01/2018,3194220034,3197680358
15/01/2018,3194015099,3197680358
16/01/2018,3192509576,3197680358
17/01/2018,3192035860,3197680358
18/01/2018,3192233342,3197680358
19/01/2018,3192054276,3197680358
22/01/2018,3191281011,3197680358
23/01/2018,3189826907,3197680358
24/01/2018,3187624076,3197680358
25/01/2018,3185845971,3197680358
26/01/2018,3183936139,3197680358
29/01/2018,3182902916,3197680358
30/01/2018,3180600043,3197680358
31/01/2018,3177094868,3197680358
01/02/2018,3170849120,3177094868
02/02/2018,3169368106,3177094868
05/02/2018,3168443764,3177094868
06/02/2018,3167881172,3177094868
07/02/2018,3168023731,3177094868
08/02/2018,3167035748,3177094868
09/02/2018,3168545081,3178094868
12/02/2018,3168627496,3178094868
13/02/2018,3168406348,3178094868
14/02/2018,3168530951,3178094868
15/02/2018,3167432316,3178094868
16/02/2018,3167338474,3178094868
19/02/2018,3164486098,3178094868
20/02/2018,3162404701,3178094868
21/02/2018,3159646960,3178094868
22/02/2018,3157670900,3178094868
23/02/2018,3154714018,3178094868
26/02/2018,3152819207,3178094868
27/02/2018,3150976710,3178094868
28/02/2018,3149579153,3178094868
01/03/2018,3149620100,3149579153
02/03/2018,3149233895,3149579153
05/03/2018,3146745371,3148579153
06/03/2018,3146988703,3148579153
07/03/2018,3146356349,3147579153
08/03/2018,3147701495,3147579153
09/03/2018,3150142773,3147579153
12/03/2018,3150575249,3147579153
13/03/2018,3152437698,3147579153
14/03/2018,3154180510,3147579153
15/03/2018,3156365825,3147579153
16/03/2018,3160738728,3147579153
19/03/2018,3164183504,3147579153
20/03/2018,3164172164,3147579153
21/03/2018,3163635962,3147579153
22/03/2018,3164210114,3147579153
23/03/2018,3164470897,3147579153
26/03/2018,3166008161,3147579153
27/03/2018,3166994208,3147579153
28/03/2018,3167765381,3147579153
29/03/2018,3168258479,3147579153
03/04/2018,3168892467,3168258479
04/04/2018,3170759254,3168258479
05/04/2018,3174482127,3168258479
06/04/2018,3177289188,3168258479
09/04/2018,3179102604,3168258479
10/04/2018,3181988082,3168258479
11/04/2018,3185201762,3168258479
12/04/2018,3189283826,3168258479
13/04/2018,3193122581,3168258479
16/04/2018,3198106790,3168258479
17/04/2018,3206723886,3168258479
18/04/2018,3222703250,3173258479
19/04/2018,3233319280,3173258479
20/04/2018,3246852764,3173258479
23/04/2018,3260460993,3173258479
24/04/2018,3272630307,3173258479
25/04/2018,3285837287,3173258479
26/04/2018,3298487628,3173258479
27/04/2018,3311207085,3173258479
