FACT_DATE,PRODUCT_GROUP,IM_EUR,MEMBER_TYPE
23/08/2019,OTC IRS,5581537495,CLIENT
23/08/2019,OTC IRS,4064221023,HOUSE
23/08/2019,PRECIOUS METALS DERIVATIVES,6216598,CLIENT
23/08/2019,PRECIOUS METALS DERIVATIVES,14961102,HOUSE
23/08/2019,SUPPLEMENTARY MARGINS,1809744383,CLIENT
23/08/2019,SUPPLEMENTARY MARGINS,948820609,HOUSE
26/08/2019,ASIA COOPERATION PRODUCTS,1868424,CLIENT
26/08/2019,"CASH, REPO, SECLEND BOND",24762289,CLIENT
26/08/2019,"CASH, REPO, SECLEND BOND",1362918987,HOUSE
26/08/2019,"CASH, REPO, SECLEND EQUITY",600332227,CLIENT
26/08/2019,"CASH, REPO, SECLEND EQUITY",385472284,HOUSE
26/08/2019,COMMODITY DERIVATIVES,2046032,CLIENT
26/08/2019,COMMODITY DERIVATIVES,1644793,HOUSE
26/08/2019,CORPORATE BOND LIQUIDATION GROUP,36975,CLIENT
26/08/2019,EQUITY DERIVATIVES,11950094304,CLIENT
26/08/2019,EQUITY DERIVATIVES,6339002978,HOUSE
26/08/2019,FIXED INCOME DERIVATIVES,7835926722,CLIENT
26/08/2019,FIXED INCOME DERIVATIVES,658875231,HOUSE
26/08/2019,FIXED INCOME DERIVATIVES ETF,12561396,CLIENT
26/08/2019,FIXED INCOME DERIVATIVES ETF,651680,HOUSE
26/08/2019,FX DERIVATIVES,1565823,CLIENT
26/08/2019,GC POOLING,410567019,CLIENT
26/08/2019,GC POOLING,2564518878,HOUSE
26/08/2019,OTC IRS,5708637405,CLIENT
26/08/2019,OTC IRS,4119759697,HOUSE
26/08/2019,PRECIOUS METALS DERIVATIVES,6202769,CLIENT
26/08/2019,PRECIOUS METALS DERIVATIVES,14985102,HOUSE
26/08/2019,SUPPLEMENTARY MARGINS,1579367723,CLIENT
26/08/2019,SUPPLEMENTARY MARGINS,904710681,HOUSE
27/08/2019,ASIA COOPERATION PRODUCTS,2327481,CLIENT
27/08/2019,"CASH, REPO, SECLEND BOND",27457927,CLIENT
27/08/2019,"CASH, REPO, SECLEND BOND",1381338143,HOUSE
27/08/2019,"CASH, REPO, SECLEND EQUITY",564183737,CLIENT
27/08/2019,"CASH, REPO, SECLEND EQUITY",396204009,HOUSE
27/08/2019,COMMODITY DERIVATIVES,2044888,CLIENT
27/08/2019,COMMODITY DERIVATIVES,1642372,HOUSE
27/08/2019,CORPORATE BOND LIQUIDATION GROUP,36999,CLIENT
27/08/2019,EQUITY DERIVATIVES,12065323047,CLIENT
27/08/2019,EQUITY DERIVATIVES,6300941829,HOUSE
27/08/2019,FIXED INCOME DERIVATIVES,7866003246,CLIENT
27/08/2019,FIXED INCOME DERIVATIVES,673385623,HOUSE
27/08/2019,FIXED INCOME DERIVATIVES ETF,12531951,CLIENT
27/08/2019,FIXED INCOME DERIVATIVES ETF,666685,HOUSE
27/08/2019,FX DERIVATIVES,1631203,CLIENT
27/08/2019,GC POOLING,430084888,CLIENT
27/08/2019,GC POOLING,2481689655,HOUSE
27/08/2019,OTC IRS,5816768593,CLIENT
27/08/2019,OTC IRS,4207030630,HOUSE
27/08/2019,PRECIOUS METALS DERIVATIVES,6074246,CLIENT
27/08/2019,PRECIOUS METALS DERIVATIVES,13000407,HOUSE
27/08/2019,SUPPLEMENTARY MARGINS,1605808275,CLIENT
27/08/2019,SUPPLEMENTARY MARGINS,894315670,HOUSE
28/08/2019,ASIA COOPERATION PRODUCTS,6617356,CLIENT
28/08/2019,"CASH, REPO, SECLEND BOND",27183911,CLIENT
28/08/2019,"CASH, REPO, SECLEND BOND",1447686604,HOUSE
28/08/2019,"CASH, REPO, SECLEND EQUITY",522159684,CLIENT
28/08/2019,"CASH, REPO, SECLEND EQUITY",410535887,HOUSE
