FACT_DATE,VOLUME,N_CALLS,TYPE
02/11/2020,571993305.9,13,Market Movement
03/11/2020,48518372.93,3,Change of Positions
03/11/2020,839590171.3,17,Market Movement
04/11/2020,194598327.8,5,Change of Positions
04/11/2020,979045943.2,20,Market Movement
05/11/2020,102278785.3,5,Change of Positions
05/11/2020,814215643.8,14,Market Movement
06/11/2020,138047599,7,Change of Positions
06/11/2020,102223720,6,Market Movement
09/11/2020,216913069.1,7,Change of Positions
09/11/2020,4645814360,66,Market Movement
10/11/2020,513776422.8,17,Change of Positions
10/11/2020,1254940450,17,Market Movement
11/11/2020,594500000,14,Change of Positions
11/11/2020,58089000.42,2,Market Movement
12/11/2020,141000000,7,Change of Positions
12/11/2020,172500000,4,Market Movement
13/11/2020,167000000,5,Change of Positions
13/11/2020,30000000,2,Market Movement
16/11/2020,230911665.3,12,Change of Positions
16/11/2020,363020353.2,10,Market Movement
17/11/2020,93926780,6,Change of Positions
18/11/2020,245500000,6,Change of Positions
19/11/2020,144232589.6,5,Change of Positions
20/11/2020,1016138666,7,Change of Positions
20/11/2020,19388013.15,1,Market Movement
23/11/2020,56503319.05,3,Change of Positions
23/11/2020,52500000,2,Market Movement
24/11/2020,85319637.59,4,Change of Positions
24/11/2020,470209018.1,5,Market Movement
25/11/2020,207799411.3,7,Change of Positions
25/11/2020,19500000,1,Market Movement
26/11/2020,246500000,8,Change of Positions
26/11/2020,23000000,1,Market Movement
27/11/2020,187420567,8,Change of Positions
30/11/2020,456989983.3,7,Change of Positions
30/11/2020,22500000,1,Market Movement
01/12/2020,227012624.3,8,Change of Positions
01/12/2020,114195968.3,6,Market Movement
02/12/2020,74500000,5,Change of Positions
03/12/2020,181721545.6,6,Change of Positions
03/12/2020,16500000,1,Market Movement
04/12/2020,110603544.7,2,Change of Positions
04/12/2020,16500000,1,Market Movement
07/12/2020,330118073.9,8,Change of Positions
07/12/2020,212906395,7,Market Movement
08/12/2020,119988147.9,3,Change of Positions
08/12/2020,19500000,1,Market Movement
09/12/2020,354247625.7,6,Change of Positions
09/12/2020,63971462.03,5,Market Movement
10/12/2020,74595749.07,4,Change of Positions
10/12/2020,29840146.24,3,Market Movement
11/12/2020,212837593.8,8,Change of Positions
11/12/2020,181604343.4,7,Market Movement
15/12/2020,474275123.6,8,Change of Positions
16/12/2020,169000000,8,Change of Positions
16/12/2020,845781404.9,15,Market Movement
17/12/2020,591088190.4,17,Change of Positions
